reading_date,meter_id,customer_id,country,facility,consumption_kwh,unit,data_status
2026-07-01,M001,C001,US,Facility-01,1073.45,kWh,OK
2026-07-01,M002,C002,US,Facility-02,1266.35,kWh,OK
2026-07-01,M003,C003,DE,Facility-03,2080.6,kWh,OK
2026-07-01,M004,C004,UK,Facility-04,1001.91,kWh,OK
2026-07-01,M005,C005,US,Facility-05,1340.99,kWh,OK
2026-07-01,M006,C006,CA,Facility-06,1827.26,kWh,OK
2026-07-01,M007,C007,AU,Facility-07,7346.15,kWh,ANOMALY
2026-07-01,M008,C008,SG,Facility-08,995.74,kWh,OK
2026-07-01,M009,C009,IN,Facility-09,899.67,kWh,OK
2026-07-01,M010,C010,NL,Facility-10,1841.98,kWh,OK
2026-07-01,M011,C011,US,Facility-11,1039.78,kWh,OK
2026-07-01,M012,C012,SE,Facility-12,2789.67,kWh,OK
2026-07-01,M013,C013,MX,Facility-13,1681.62,kWh,OK
2026-07-01,M014,C014,NL,Facility-14,2066.84,kWh,OK
2026-07-01,M015,C015,UK,Facility-15,931.07,kWh,OK
2026-07-01,M016,C016,US,Facility-16,978.76,kWh,OK
2026-07-01,M017,C017,DE,Facility-17,2045.15,kWh,OK
2026-07-01,M018,C018,CA,Facility-18,849.0,kWh,OK
2026-07-01,M019,C019,US,Facility-19,2130.74,kWh,OK
2026-07-01,M020,C020,SG,Facility-20,892.67,kWh,OK
2026-07-01,M021,C001,US,Facility-01,1073.61,kWh,OK
2026-07-01,M022,C002,US,Facility-02,1483.84,kWh,OK
2026-07-01,M023,C003,DE,Facility-03,1662.18,kWh,OK
2026-07-01,M024,C004,UK,Facility-04,1055.08,kWh,OK
2026-07-01,M025,C005,US,Facility-05,1454.27,kWh,OK
2026-07-01,M026,C006,CA,Facility-06,1999.13,kWh,OK
2026-07-01,M027,C007,AU,Facility-07,1651.84,kWh,OK
2026-07-01,M028,C008,SG,Facility-08,1061.05,kWh,OK
2026-07-01,M029,C009,IN,Facility-09,871.32,kWh,OK
2026-07-01,M030,C010,NL,Facility-10,1512.69,kWh,OK
2026-07-01,M031,C011,US,Facility-11,1013.93,kWh,OK
2026-07-01,M032,C012,SE,Facility-12,2556.15,kWh,OK
2026-07-01,M033,C013,MX,Facility-13,1644.07,kWh,OK
2026-07-01,M034,C014,NL,Facility-14,1716.52,kWh,OK
2026-07-01,M035,C015,UK,Facility-15,993.82,kWh,OK
2026-07-01,M036,C016,US,Facility-16,981.72,kWh,OK
2026-07-01,M037,C017,DE,Facility-17,2366.41,kWh,OK
2026-07-01,M038,C018,CA,Facility-18,903.32,kWh,OK
2026-07-01,M039,C019,US,Facility-19,2270.2,kWh,OK
2026-07-01,M040,C020,SG,Facility-20,1004.77,kWh,OK
2026-07-01,M041,C001,US,Facility-01,1046.76,kWh,OK
2026-07-01,M042,C002,US,Facility-02,1188.2,kWh,OK
2026-07-01,M043,C003,DE,Facility-03,2098.56,kWh,OK
2026-07-01,M044,C004,UK,Facility-04,1083.4,kWh,OK
2026-07-01,M045,C005,US,Facility-05,1702.82,kWh,OK
2026-07-01,M046,C006,CA,Facility-06,1606.05,kWh,OK
2026-07-01,M047,C007,AU,Facility-07,1598.05,kWh,OK
2026-07-01,M048,C008,SG,Facility-08,975.64,kWh,OK
2026-07-01,M049,C009,IN,Facility-09,869.5,kWh,OK
