billing_month,customer_id,country,expected_bills,received_bills,missing_bills,delivery_rate,reconciliation_status
2026-05,C001,US,28,28,0,1.0,Complete
2026-06,C001,US,88,88,0,1.0,Complete
2026-07,C001,US,71,67,4,0.9437,Reconcile
2026-05,C002,US,80,78,2,0.975,Reconcile
2026-06,C002,US,85,85,0,1.0,Complete
2026-07,C002,US,118,109,9,0.9237,Reconcile
2026-05,C003,DE,45,35,10,0.7778,Reconcile
2026-06,C003,DE,84,83,1,0.9881,Reconcile
2026-07,C003,DE,31,29,2,0.9355,Reconcile
2026-05,C004,UK,106,97,9,0.9151,Reconcile
2026-06,C004,UK,92,92,0,1.0,Complete
2026-07,C004,UK,123,122,1,0.9919,Reconcile
2026-05,C005,US,101,100,1,0.9901,Reconcile
2026-06,C005,US,136,134,2,0.9853,Reconcile
2026-07,C005,US,112,110,2,0.9821,Reconcile
2026-05,C006,CA,114,104,10,0.9123,Reconcile
2026-06,C006,CA,130,121,9,0.9308,Reconcile
2026-07,C006,CA,72,69,3,0.9583,Reconcile
2026-05,C007,AU,45,45,0,1.0,Complete
2026-06,C007,AU,89,88,1,0.9888,Reconcile
2026-07,C007,AU,126,122,4,0.9683,Reconcile
2026-05,C008,SG,131,127,4,0.9695,Reconcile
2026-06,C008,SG,116,112,4,0.9655,Reconcile
2026-07,C008,SG,127,127,0,1.0,Complete
2026-05,C009,IN,34,34,0,1.0,Complete
2026-06,C009,IN,27,24,3,0.8889,Reconcile
2026-07,C009,IN,113,101,12,0.8938,Reconcile
2026-05,C010,NL,138,134,4,0.971,Reconcile
2026-06,C010,NL,68,67,1,0.9853,Reconcile
2026-07,C010,NL,28,28,0,1.0,Complete
2026-05,C011,US,134,133,1,0.9925,Reconcile
2026-06,C011,US,64,63,1,0.9844,Reconcile
2026-07,C011,US,35,32,3,0.9143,Reconcile
2026-05,C012,SE,125,113,12,0.904,Reconcile
2026-06,C012,SE,121,115,6,0.9504,Reconcile
2026-07,C012,SE,29,25,4,0.8621,Reconcile
2026-05,C013,MX,85,85,0,1.0,Complete
2026-06,C013,MX,30,30,0,1.0,Complete
2026-07,C013,MX,26,26,0,1.0,Complete
2026-05,C014,NL,102,101,1,0.9902,Reconcile
2026-06,C014,NL,50,49,1,0.98,Reconcile
2026-07,C014,NL,28,19,9,0.6786,Reconcile
2026-05,C015,UK,99,97,2,0.9798,Reconcile
2026-06,C015,UK,134,130,4,0.9701,Reconcile
2026-07,C015,UK,103,102,1,0.9903,Reconcile
2026-05,C016,US,33,33,0,1.0,Complete
2026-06,C016,US,122,122,0,1.0,Complete
2026-07,C016,US,116,115,1,0.9914,Reconcile
2026-05,C017,DE,46,40,6,0.8696,Reconcile
2026-06,C017,DE,52,48,4,0.9231,Reconcile
2026-07,C017,DE,85,83,2,0.9765,Reconcile
2026-05,C018,CA,48,45,3,0.9375,Reconcile
2026-06,C018,CA,38,37,1,0.9737,Reconcile
2026-07,C018,CA,73,70,3,0.9589,Reconcile
2026-05,C019,US,54,44,10,0.8148,Reconcile
2026-06,C019,US,40,33,7,0.825,Reconcile
2026-07,C019,US,88,86,2,0.9773,Reconcile
2026-05,C020,SG,96,84,12,0.875,Reconcile
2026-06,C020,SG,39,36,3,0.9231,Reconcile
2026-07,C020,SG,101,99,2,0.9802,Reconcile
